GemeindeID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
117,2.0,13.0,9.0,16.0,23.0,18.0,10.0,21.0,17.0,36.0,34.0,61.0,49.0,32.0,45.0,53.0,35.0,72.0,38.0,43.0,43.0,35.0,36.0,51.0,37.0
118,16.0,14.0,28.0,31.0,50.0,36.0,57.0,88.0,49.0,83.0,80.0,103.0,71.0,106.0,89.0,106.0,65.0,117.0,77.0,57.0,63.0,69.0,64.0,54.0,48.0
119,0.0,0.0,0.0,1.0,1.0,1.0,7.0,3.0,4.0,7.0,1.0,7.0,1.0,4.0,0.0,14.0,8.0,7.0,2.0,5.0,4.0,1.0,3.0,7.0,7.0
120,7.0,13.0,18.0,17.0,32.0,31.0,31.0,35.0,40.0,43.0,47.0,81.0,74.0,68.0,60.0,55.0,95.0,103.0,58.0,66.0,25.0,45.0,38.0,44.0,46.0
121,26.0,33.0,34.0,46.0,78.0,116.0,105.0,102.0,103.0,145.0,105.0,131.0,132.0,141.0,142.0,144.0,125.0,208.0,147.0,126.0,90.0,128.0,141.0,149.0,172.0
131,27.0,24.0,40.0,34.0,55.0,78.0,66.0,63.0,73.0,85.0,101.0,84.0,114.0,126.0,131.0,158.0,188.0,192.0,115.0,104.0,114.0,117.0,119.0,104.0,143.0
132,0.0,3.0,4.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,6.0,3.0,3.0,2.0,10.0,4.0,6.0,4.0,3.0,3.0,7.0,9.0
133,22.0,30.0,36.0,52.0,68.0,94.0,63.0,96.0,87.0,89.0,68.0,103.0,125.0,158.0,101.0,163.0,160.0,177.0,118.0,169.0,143.0,151.0,164.0,129.0,149.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0
135,13.0,10.0,19.0,14.0,18.0,45.0,19.0,32.0,26.0,17.0,23.0,36.0,37.0,53.0,23.0,42.0,25.0,62.0,59.0,43.0,43.0,50.0,47.0,48.0,73.0
136,15.0,13.0,24.0,21.0,26.0,22.0,23.0,14.0,19.0,24.0,34.0,20.0,31.0,34.0,24.0,56.0,36.0,40.0,59.0,33.0,60.0,68.0,28.0,57.0,39.0
137,3.0,2.0,5.0,10.0,6.0,17.0,6.0,12.0,3.0,20.0,9.0,11.0,15.0,14.0,8.0,16.0,14.0,45.0,28.0,15.0,42.0,18.0,11.0,13.0,26.0
138,7.0,14.0,13.0,23.0,22.0,35.0,26.0,35.0,31.0,21.0,42.0,55.0,44.0,55.0,31.0,112.0,50.0,109.0,59.0,72.0,78.0,72.0,71.0,50.0,82.0
139,5.0,3.0,10.0,18.0,14.0,7.0,4.0,24.0,8.0,8.0,22.0,14.0,23.0,18.0,30.0,14.0,32.0,42.0,61.0,52.0,28.0,34.0,25.0,31.0,43.0
140,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,6.0,5.0,3.0,1.0,9.0,4.0,6.0
