,link,text
49,/de/mmr/reference/pre_20160108/source/pre_20160108.de.pdf,Nationalbank erwartet Jahresverlust von 23 Mrd. Franken
50,/de/mmr/reference/pre_20151221_1/source/pre_20151221_1.de.pdf,Revision der Bilanzstatistiken
51,/de/mmr/reference/pre_20151221_2/source/pre_20151221_2.de.pdf,Zahlungsbilanz und Auslandvermögen im 3. Quartal 2015
52,/de/mmr/reference/pre_20151215/source/pre_20151215.de.pdf,Beförderungen bei der Schweizerischen Nationalbank
53,/de/mmr/reference/pre_20151211/source/pre_20151211.de.pdf,Direktinvestitionen 2014
54,/de/mmr/reference/pre_20151210/source/pre_20151210.de.pdf,Geldpolitische Lagebeurteilung vom 10. Dezember 2015
55,/de/mmr/reference/pre_20151208/source/pre_20151208.de.pdf,Emissionskalender der Bundesanleihen und Geldmarktbuchforderungen für das Jahr 2016 
56,/de/mmr/reference/pre_20151204/source/pre_20151204.de.pdf,Bundesrat wählt Christian Vitta zum Mitglied des Bankrats der Schweizerischen Nationalbank
57,/de/mmr/reference/pre_20151130/source/pre_20151130.de.pdf,Renminbi-Clearing nun auch in der Schweiz möglich
58,/de/mmr/reference/pre_20151126/source/pre_20151126.de.pdf,Teilrevision der Nationalbankverordnung tritt in Kraft
59,/de/mmr/reference/pre_20151120/source/pre_20151120.de.pdf,Vermögen der privaten Haushalte 2014
60,/de/mmr/reference/pre_20151110/source/pre_20151110.de.pdf,Direkthandel Renminbi - Schweizer Franken ermöglicht
61,/de/mmr/reference/pre_20151030/source/pre_20151030.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. September 2015
62,/de/mmr/reference/pre_20151021/source/pre_20151021.de.pdf,"Verbesserung der ""Too-big-to-fail""-Bestimmungen: Nationalbank begrüsst Entscheid des Bundesrats"
63,/de/mmr/reference/pre_20151001/source/pre_20151001.de.pdf,Rita Kobel Rohr neue SNB-Delegierte für Wirtschaftskontakte in der Region Zürich
64,/de/mmr/reference/pre_20150921/source/pre_20150921.de.pdf,Zahlungsbilanz und Auslandvermögen im 2. Quartal 2015 (korrigierte Fassung)
65,/de/mmr/reference/pre_20150917/source/pre_20150917.de.pdf,Geldpolitische Lagebeurteilung vom 17. September 2015
66,/de/mmr/reference/pre_20150901/source/pre_20150901.de.pdf,Verfügung der Schweizerischen Nationalbank betreffend Systemrelevanz der PostFinance AG
67,/de/mmr/reference/pre_20150827_2/source/pre_20150827_2.de.pdf,Zahlungsbilanz und Auslandvermögen 2014
68,/de/mmr/reference/pre_20150827_1/source/pre_20150827_1.de.pdf,Neues Datenportal der Schweizerischen Nationalbank
69,/de/mmr/reference/pre_20150820/source/pre_20150820.de.pdf,Revision der Nationalbankverordnung
70,/de/mmr/reference/pre_20150814/source/pre_20150814.de.pdf,Neue Schweizer Banknoten - Emissionsbeginn im April 2016
71,/de/mmr/reference/pre_20150731/source/pre_20150731.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. Juni 2015
