BDP,CVP,EDU,EVP,FDP,GLP,Grüne,SP,SVP,Übrige,Bezirk_Name,Bezirk_ID
35.8857936418864,-75.8903286591483,189.822990334369,113.305617026608,-46.3142379042644,-50.1934474696225,-4.55547805194881,37.3531655089449,24.4971880945194,-22.6886261457049,Arrondissement administratif Jura bernois,241
8.33333426371237,-53.2903087739165,0.255767887846181,143.318110354121,6.33855394056393,31.9877890702989,-7.88438462269848,8.53322269583991,8.01737843026573,-58.3765408110771,Bezirk Aarau,1901
2.02873574306999,-65.9537776961837,76.6076698880048,99.4070230624775,-3.73220267246662,88.442207703778,-18.3003010149747,-1.58227805821316,15.2965280762746,-33.6312795943279,Bezirk Affoltern,101
233.977786766316,116.900710707436,-100.0,-100.0,-9.89210937143776,74.0379325830853,-100.0,-32.1160405078996,-14.030593016739,-96.6599655027174,Bezirk Albula,1821
52.1337579952262,-78.2530872251943,192.289395846226,102.296113808278,-20.1282027926378,53.3094286580352,-19.2674296766968,-25.9988072849898,40.3337467945689,-42.8457303186214,Bezirk Andelfingen,102
-16.4258441680435,1.10479297846162,225.821093009497,28.2421610422726,-7.31600664905717,4.02649998446756,-18.0070574914274,-24.7350191016639,30.2423950594991,-96.0245601691162,Bezirk Arbon,2011
-26.5796192497057,-6.85220064097405,-71.1133173343451,7.28601820510124,3.15379331224721,-32.1269374757982,70.3503139711896,26.8001110859071,-8.62849683837204,-81.234834863512,Bezirk Arlesheim,1301
30.967859150773,-0.923233976394011,-43.578623078085,48.794611986393,-2.06520246508728,32.8413036704656,-6.48529493605837,-10.6741142125653,9.02896704477769,-61.0455285013893,Bezirk Baden,1902
28.6685767183477,-7.15081109799244,-40.5546824467363,3.60593441591124,-8.12483986920662,10.0216553477236,-37.6170062773636,-24.4320152815469,38.5223843231843,-65.1415298029349,Bezirk Bremgarten,1903
-100.0,318.233486847045,-100.0,-100.0,-81.5725668354789,-100.0,-55.1150328543533,-47.5822540624883,19.5091380664835,-95.9246683790535,Bezirk Brig,2301
37.7564159494088,-45.3664599701163,1.37502923058024,130.245096376263,-4.36145600777729,5.88854245237691,-7.51897450276149,-12.1379728162888,24.3639170742715,-55.6804724017538,Bezirk Brugg,1904
67.1511000218973,-54.2268574498442,-52.6225190431153,-50.8193118000681,99.3841133031756,-17.0164528412169,-32.1952988346169,-12.0908710244647,-5.91759189903639,-84.6207032194283,Bezirk Bucheggberg,1103
9.02874276874497,-67.8709180396955,185.462075836875,85.2711058064025,-17.072947000327,53.1075229265912,-39.0475929065778,-7.48881585760358,34.1481816779931,-38.5829645684595,Bezirk Bülach,103
-11.7449067652899,-71.6136501108243,225.089524675095,23.3209418286213,-25.8086974054436,35.4068653600659,-38.4123952109014,-18.2724875908994,56.5827120951785,-46.2257481733179,Bezirk Dielsdorf,104
-17.0062552651601,-40.496620037711,-14.0965333670289,25.3145766042776,1.5667228358232,46.4121770066566,-40.4259118950844,-4.59948979806832,26.565587435874,-29.3568967947302,Bezirk Dietikon,111
-35.5777851051177,16.3437834809178,-76.4342183789924,-38.1325881364625,7.33669555171097,6.34843634233455,68.4847684804124,0.899801206450834,-5.71245094242407,-75.1275886822674,Bezirk Dorneck,1104
-100.0,117.766173271671,-100.0,-100.0,10.0876644777145,-31.1158718507379,-83.2088678211636,-27.9510928170662,31.5350530595432,-100.0,Bezirk Einsiedeln,501
-3.35058567365774,-1.79464395844579,102.120406723987,36.408832061006,-23.4563523498983,48.2326583275029,-24.5884822926331,-19.2507606911222,34.1979802290931,-96.4198051876204,Bezirk Frauenfeld,2012
-35.683998480009,102.98125215576,-56.8736097698828,-58.3301662449915,27.8757810854742,-35.0536793037576,-66.6129161404122,-41.2018366467785,16.3009076728525,-82.4505383404373,Bezirk Gäu,1101
-100.0,126.611785779014,-100.0,-100.0,60.8795558510073,-72.8204359981316,-70.5687526374128,-44.2932552011324,13.760314376231,-100.0,Bezirk Gersau,502
-100.0,363.459218177958,-100.0,-100.0,-78.1442078788449,-100.0,-38.5279056696964,-54.4422886069063,0.268494855834667,-96.4919465486991,Bezirk Goms,2304
-38.9745630336633,36.8712527445116,-48.7319801638702,-7.00768452587154,5.17242186711693,-38.8857358315623,-39.9741424215992,17.2771762058326,8.40625251302449,-81.399435686099,Bezirk Gösgen,1105
-100.0,-100.0,-100.0,-100.0,76.2647979428154,-100.0,-100.0,22.877695588669,58.6984349714115,-74.470605455121,Bezirk Hinterland,1501
429.090898058989,-13.4182396955696,-100.0,-100.0,-14.8227384835377,65.2064615606086,-100.0,0.707452423602128,-6.9296147701053,-95.6728322535795,Bezirk Hinterrhein,1823
7.64541006460835,-61.8787494885066,317.684451353387,169.932545644519,-26.2313346002473,46.7541275063549,-15.7632053663503,-18.4891386219205,29.0412675347866,-40.4891790764277,Bezirk Hinwil,105
-100.0,22.3821834955442,-100.0,-100.0,57.2932586475091,-24.6168359108781,-81.7923206724544,-36.6464679330427,47.0842154201881,-100.0,Bezirk Höfe,503
-13.5141675891181,-39.2537854401854,14.3500719272236,56.7643621513565,18.0999657444888,68.6331735069765,-21.708551917923,-3.86453796271985,6.30842335395794,-38.9187893377941,Bezirk Horgen,106
211.904324766125,40.8637204567832,-100.0,-100.0,-18.7641388764672,76.262484414474,-100.0,5.50901224100215,-0.167428550001303,-98.522444934545,Bezirk Imboden,1824
451.340596646411,-12.6805491065222,-100.0,-100.0,-34.2262103498935,46.7948531134001,-100.0,5.12089811782488,0.891256231017534,-97.778230031398,Bezirk Inn,1825
