Bezirk_ID,Bis 14’999,15’000-19’999,20’000-29’999,30’000-39’999,40’000-49’999,50’000-74999,75’000 und mehr,Bezirk_Name
2107,59,108,452,535,555,1139,840,Riviera
2108,157,77,424,441,379,624,439,Vallemaggia
2221,1979,772,2151,2417,2132,3955,3961,Aigle
2222,146,401,1814,2274,2153,3987,3805,Broye-Vully
2223,92,288,1318,1749,1992,4489,6649,Gros-de-Vaud
2224,422,900,3882,4847,4929,9139,9267,Jura-Nord vaudois
2225,697,1665,6897,7539,7641,16635,19792,Lausanne
2226,393,496,1974,2369,2472,5814,11684,Lavaux-Oron
2227,322,605,2710,3303,3575,7979,12761,Morges
2228,667,686,2652,2986,3255,7654,18620,Nyon
2229,233,572,2717,3432,3537,7373,7606,Ouest lausannois
2230,1739,1139,3963,4060,3984,8089,11603,Riviera-Pays-d'Enhaut
2301,422,232,1170,1547,1737,3614,2850,Brig
2302,1609,311,1345,1514,1515,2815,2412,Conthey
2303,2058,385,1027,1076,977,1400,1533,Entremont
2304,699,76,305,361,316,520,293,Goms
2305,2053,182,767,786,702,1272,1015,Hérens
2306,522,136,683,823,844,1499,901,Leuk
2307,929,539,2443,2929,2729,4766,3758,Martigny
2308,1604,532,2240,2636,2664,5122,4227,Monthey
2309,827,123,565,686,758,1353,942,Raron
2310,228,163,723,782,823,1457,1026,Saint-Maurice
2311,5371,792,2614,2866,2767,5278,5078,Sierre
2312,829,533,2265,2476,2759,5220,5084,Sion
2313,1168,330,1326,1777,1903,3502,2594,Visp
2401,127,312,1499,1794,1904,3905,4967,Boudry
2402,119,521,2431,2494,2465,4200,3554,La Chaux-de-Fonds
2403,51,163,817,917,905,1500,1276,Le Locle
2404,182,574,2537,2999,3049,6144,6380,Neuchâtel
2405,40,142,617,859,868,1847,2194,Val-de-Ruz
2406,47,150,872,878,791,1211,911,Val-de-Travers
2500,2356,5253,19500,18403,17649,42783,70903,Cant. de Genève
2601,85,436,2024,2394,2312,4108,3401,Delémont
2602,25,101,615,715,681,1088,856,Les Franches-Montagnes
2603,94,342,1626,1706,1602,2584,2138,Porrentruy
