BDP,CVP,EDU,EVP,FDP,GLP,Grüne,SP,SVP,Übrige,Gemeinde_ID,Gemeinde_Name
-17.5046729947892,72.8461954033368,111.243295601502,8.74826551356933,-38.4260639553436,25.4050503672766,-26.5297189892018,-44.7671148798498,36.9365585611599,-96.6927094596142,4551,Aadorf
-11.6025714892982,-54.1393542276075,-38.2326255271965,99.063275830338,10.3694433521914,70.622188375219,25.3725883971089,40.5930770187971,-22.9959572594666,-47.9999422258136,4001,Aarau
286.812635904307,-90.7126310440607,92.1713060112258,128.482133611618,-37.1273542730786,28.7496969580911,-28.1958683526258,-10.7195863154775,23.5455495988889,-61.355031484782,301,Aarberg
11.7116361593306,-59.4414130461755,143.199377409594,92.1746659275921,-13.9692257299353,-6.47453748133955,-43.1652446471154,15.2377113541313,29.8498612642736,-63.4324587581337,4271,Aarburg
234.297333414148,-87.5603209488282,129.273203943499,30.0181057626272,-24.9100911428648,-9.68694034726333,-32.4969167851226,-6.64495458199206,29.5673550725952,-45.5486481298267,321,Aarwangen
9.0676533433367,25.7766709430735,-52.4373933408546,-52.3372615373616,-26.0994910810374,45.7162122977637,-53.5018256145295,-65.548129263419,65.0097609620138,-53.4991643940752,4221,Abtwil
7.30068192407063,-84.0063175045857,-15.4787640394649,-79.6396212969561,64.7463955825307,-35.6647212903819,68.7661985413778,5.42919322053366,-14.165403136709,9.9544932863554,5621,Aclens
-100.0,163.371027360139,-100.0,-100.0,28.3282057967444,-88.5476561717953,-65.5071889694216,-15.8641130453109,-74.7760473345489,359.185835400417,5048,Acquarossa
52.0493308656593,-96.1035587220209,1883.00465713193,254.927810961909,-67.4521914848206,-24.0779596554976,-75.3849972013127,-74.9391691584848,56.4006955244765,-66.5099798721388,561,Adelboden
-74.6516449498156,24.8804942276422,-100.0,-64.4604203316858,14.2095818513823,56.7809751026603,24.2698718045939,9.83969848631943,-5.92819381034064,-86.8912249860056,1051,Adligenswil
61.2180830991072,-92.583348912823,369.451668097671,148.705350481107,-54.8954949761334,-15.4031764406238,-45.7106828584679,-55.9029325552057,93.069418036109,-60.1314659463896,21,Adlikon
-8.79795754883694,-34.400076513717,-14.3774081016981,69.9644773229295,-6.28048636763355,33.4258334115277,-25.4127550168988,10.5434350375802,13.3982820560334,-30.2593173964624,131,Adliswil
-28.43852869615,295.30239313641,-89.7017630581644,-74.2002063983488,-15.8830707389728,-62.9441409393131,-83.5096928289729,-64.9117335163121,-9.84756117873585,-84.7449353185257,2421,Aedermannsdorf
241.75743886114,-91.0315863939838,88.1218959887162,120.302943948793,-75.2873967756469,21.4396809104918,-39.9742552973088,-25.0820288294512,62.7479092908253,-47.0742653908035,401,Aefligen
255.028725776557,-85.9446985379412,59.7783427496445,71.3871624497245,-49.9078896318355,-10.6300096560498,-66.877378818156,21.8272292123309,32.1334193066926,-57.0764465464222,731,Aegerten
-15.5660377977889,47.6838527997804,-72.3349861289435,-47.7348452354915,-8.03130992226917,-54.8894634492169,50.0595422197835,12.4888233726307,-2.53223097745026,-91.6022634923073,2761,Aesch (BL)
-35.6234153732434,134.40776329211,-100.0,-10.4778246111381,9.68757490573138,-20.9134849651433,-55.8306547302357,-81.5868802388144,33.5718039554432,-81.3753427182001,1021,Aesch (LU)
40.7991312997481,-47.3901357990199,34.9415703000601,-20.4923215616059,21.3797183598635,74.4406658957708,-55.7733994098403,-33.4620028933622,32.9531346566081,-53.9753228760659,241,Aesch (ZH)
21.6134156031655,40.5000580326327,-51.7537511458484,-78.670079453954,26.5176190208319,13.7902888741545,-33.9860107746311,-4.55633378852621,-3.72061857953372,-85.2858950590035,2511,Aeschi (SO)
176.790226308048,-92.8198981840129,200.767287671538,327.82803059407,-58.6027863462475,-14.2769308382337,-8.77087284833197,-56.3938453354125,64.441012730037,-52.9340257222862,562,Aeschi bei Spiez
-36.3152799666504,-82.115178447694,284.517734399738,82.476994864576,14.0430750411105,82.1868194995195,0.213800233583949,-1.13499210797046,5.09428833515151,-27.6740104026114,1,Aeugst am Albis
31.7085922261768,-10.1301955424577,248.982568233905,7.65550239234449,-49.3240687982493,6.20637952269603,-41.1771591787044,-64.1771031436509,82.5314585948447,-97.8567264497102,4711,Affeltrangen
1.32113925488977,-60.5048513515185,32.5392045565303,187.622476132385,-13.1993681259588,58.9170525220859,-12.0248295040668,1.16815556231271,14.8004943505675,-26.4182348872968,2,Affoltern am Albis
185.844723768193,-90.412078518593,341.46752959212,287.350212642201,-68.6800569114148,-51.7424687549782,-60.7523836121011,-50.9988797681508,79.1329513444917,-49.6571870429893,951,Affoltern im Emmental
-100.0,533.54550793838,-100.0,-100.0,-92.0674904662206,-100.0,-92.5554131941587,-60.5449779917247,-41.8175392390881,-98.8521777058476,6101,Agarn
-19.0441915679374,-58.8355783575187,-94.9162968272609,-71.3439679052441,41.7357536189678,-56.8818523556228,85.0871194788769,-8.58229421874429,9.97416326620386,-29.7141121511748,5742,Agiez
-100.0,61.5279873003773,-100.0,-100.0,13.0923885835888,-86.1383872929892,-43.1455575417803,-31.9990693273814,-54.0195880251188,557.635500220492,5141,Agno
-71.2138713175014,-73.4259029789341,62.2512188099716,-27.4785451080434,113.513383702637,-47.2231977371683,37.1066512023024,-3.35146674287974,-27.8526836679696,21.2434154127485,5401,Aigle
-80.1596355721862,41.8765491409094,-95.431714409058,-100.0,12.9375521672816,-37.7706755462825,44.761593825148,-9.34762864061509,-19.8322536086338,114.856328223776,6601,Aire-la-Ville
