Bezirk_ID,Bezirk_Name,Bis 14’999,15’000-19’999,20’000-29’999,30’000-39’999,40’000-49’999,50’000-74999,75’000 und mehr
101,Affoltern,-70.4579337586223,-29.1969770799788,-22.5025610154518,-21.7478084830749,-16.6866231596053,-5.21628104517169,34.9755017271413
102,Andelfingen,-70.0839009574443,-21.1586864022422,-16.7430807823139,-13.6950671550969,-2.25533406174436,-2.42567000601354,20.332258244075
103,Bülach,-60.7123988106702,-26.407799108661,-20.5927934713898,-16.078122391152,-6.39397844215399,7.43684159822213,15.502668917423
104,Dielsdorf,-64.1113731206835,-27.9680413027115,-18.9819338346059,-15.0459692607646,-4.81262554263819,6.59919158543598,14.9307771231501
105,Hinwil,-67.3672549231265,-15.9411523191856,-4.05792195404735,2.29327773217807,5.90549493605752,5.95900008550019,-1.92036344595289
106,Horgen,-57.1627611587561,-30.1696791100347,-21.3502872589098,-22.942076530343,-18.8515862573365,-9.25448989353941,38.8230680832919
107,Meilen,-59.298315855689,-32.3473775377233,-31.1571435937067,-33.518725263016,-32.0049124598476,-21.7714251914818,63.5026311884205
108,Pfäffikon,-68.8733816189822,-22.276775863445,-14.6726090116923,-8.44031267774765,-3.54853439382852,3.7067688288549,12.6840931085679
109,Uster,-66.065523624625,-26.2837218592706,-23.4837919555152,-20.9836272966977,-9.75308154147826,4.16028130525343,23.1541320962899
110,Winterthur,-65.5043945072029,-17.8396731570594,-9.27729734354195,-5.11778535217303,1.4149543103283,8.00515352743356,3.01630869904463
111,Dietikon,-61.581060316405,-18.3065248353177,-7.61919915701292,-9.91405976967865,-1.71547204914136,6.63078588996531,6.79732777486555
112,Zürich,-48.8035819499455,10.3195701331092,0.291454385723422,-11.4817385300005,-12.5424542938192,-1.10601966987343,13.402239693366
241,Jura bernois,-75.1208482147657,10.8423817885428,33.8105979250105,32.0367945349236,17.1482480756155,0.133289493481015,-27.8870435965068
242,Biel/Bienne,-73.9366276405123,-10.2538959907894,4.65793841479043,15.8457045102263,19.0888433836302,9.20352163298015,-18.9985763963499
243,Seeland,-80.1454033422915,-18.9488624027535,-5.27114935916522,13.4883049821837,15.9984837504161,9.52929755770282,-12.6231767851887
244,Oberaargau,-75.9009971248122,-0.764288298981342,17.8777517566315,31.5402193201063,27.1275503022851,6.80910502880407,-31.7769395362377
245,Emmental,-77.440797364885,11.8708756749438,20.0136845498699,38.5318339226303,28.9155670941453,0.595197627007571,-31.5066239454773
246,Bern-Mittelland,-79.1760094945277,-26.4817681923968,-11.6802194832982,0.607252456531526,6.88222333352186,7.46645705694544,1.08533536055011
247,Thun,-80.0894841668142,-14.2538968540001,-0.21136533087055,23.0236509920317,21.7057627165895,9.91200569276407,-21.3879314887378
248,Obersimmental-Saanen,-67.9287091397329,37.7496240055937,35.9035465388435,38.5720654926903,15.1084297395018,-6.62289324647678,-26.9087510613766
249,Frutigen-Niedersimmental,-73.795816253932,13.4273525756799,21.4885344594582,35.978486033873,26.3704071183684,2.65240268755014,-31.9999390353488
250,Interlaken-Oberhasli,-71.1404914216339,8.76934499825959,26.0680844133387,39.4400693595931,25.6160887257317,4.11022576807854,-35.6806112854931
311,Luzern-Stadt,-66.0989090034762,7.05240635021109,5.27684833546032,2.24159718647934,12.4006215986734,9.69702509222374,-12.9937313784962
312,Luzern-Land,-49.1255977876289,-12.7475285293322,-9.07598014263283,-2.98730146498374,3.58219039609433,3.10670061663734,4.00915992730577
313,Hochdorf,-67.2979935866368,-3.95030653795736,1.13572259889525,9.07890087917826,20.6891969098357,8.71671291088301,-16.2737456132782
314,Sursee,-75.6549489863526,-7.43919487229702,-2.1085177122162,6.13587233469828,13.125335350779,6.02054252118907,-7.4899611784415
315,Willisau,-74.2659755827045,14.2408368126224,18.313819018478,34.5503971075296,29.8134708056265,4.56498353251473,-33.6110990714582
316,Entlebuch,6.19969764139539,50.337966864201,54.374831950058,55.5512228830525,28.9700798248303,-10.3816448256703,-48.4083105369465
400,Kt. Uri,-19.4903907162733,6.26782281924971,7.58984879508775,18.0889774290838,18.7030200062183,15.2027930609528,-30.7521369431419
501,Einsiedeln,-48.7207676780369,-0.823195455855852,4.50787184008095,8.49161414322586,12.0050302487278,-2.26689673001634,-5.05673936017402
502,Gersau,190.891810160363,37.7797069110328,-4.35571461536711,21.7069449737983,-1.41028064195496,-1.76225990491409,-20.3229246831093
503,Höfe,-51.0217398098815,-43.2228762886024,-35.8890615432086,-40.0603538883542,-32.8954996800765,-26.6553944127557,72.7320194883734
504,Küssnacht (SZ),-51.4424753256122,-23.8155759145185,-24.0375608437907,-13.9633489451269,-8.41741275280751,-4.12233806356673,26.0748873574841
505,March,-67.0988888695919,-14.5806591445833,-9.82894342988075,-4.73661553450595,1.24537322141443,-1.76373145499191,11.585185569569
506,Schwyz,-33.1346762490576,0.803540328745633,9.33064623971638,16.1882054237895,14.2360853744467,2.59080452215994,-16.1656166936171
600,Kt. Obwalden,92.0250851303395,2.52225937248027,4.28157181852136,9.20983315071105,14.1069714150858,1.00541612642495,-18.3407561180442
700,Kt. Nidwalden,-34.6107338988931,-13.111486594874,-8.2770026843618,-4.37821066758682,3.14256261892951,-0.297875775595358,6.60828573445289
800,Kt. Glarus,8.97991116261845,4.94013562911282,21.0966095547863,20.4201590891866,16.1429741569863,5.82738104448837,-28.4719820430553
900,Kt. Zug,-68.5923817859076,-30.5021313964749,-30.031285484545,-27.4633155500124,-19.5027323476008,-8.88913366648282,44.2443366039104
