Ledig,Verheiratet,Geschieden,Wervitwet,Bezirk_Name,Bezirk_ID
-5.30243994310674,1.60257786210976,3.52149479235382,27.4930636552478,Arrondissement administratif Jura bernois,241
-0.320605650763706,1.17180521587692,-6.09575730522419,2.82571081510394,Bezirk Aarau,1901
-3.70550195054835,7.48005671068133,-4.06796510383153,-25.7346990317678,Bezirk Affoltern,101
-7.23689235676678,7.13892711030084,-14.0550081375472,25.7161326257205,Bezirk Albula,1821
-5.65577296480084,8.89439202086788,-8.85068158647885,-12.6487514371289,Bezirk Andelfingen,102
-4.79767255556736,2.76199064409637,6.87904214399964,7.12300913599819,Bezirk Arbon,2011
-10.0560247371396,7.25938339795598,3.03451748383345,21.1583376527197,Bezirk Arlesheim,1301
-1.94852936627585,4.20382228417788,-4.69594120605654,-11.6082344816116,Bezirk Baden,1902
-4.33637698000467,5.78421684082566,-0.301235651710685,-11.5063093164219,Bezirk Bremgarten,1903
-3.73269231698379,4.6161255941493,-14.5999227073793,17.4203015486351,Bezirk Brig,2301
-5.06981433010076,7.45628744814817,-6.81041791733663,-8.68525524706825,Bezirk Brugg,1904
-4.01923642299415,6.25444151009147,-15.3501779609087,6.842121938117,Bezirk Bucheggberg,1103
-2.0697428694567,3.66273519993499,3.29632211044315,-19.2134950838714,Bezirk Bülach,103
-3.53936970383198,5.3610823541427,4.90171791701626,-23.6827039640573,Bezirk Dielsdorf,104
-3.17346939586272,3.67676028096366,3.73328082323907,-10.1820576471013,Bezirk Dietikon,111
-7.04457053330841,8.06220889957168,-2.6604549209169,-3.30289071165699,Bezirk Dorneck,1104
1.04791160034363,0.967066288532337,-10.0182067742538,-1.03547994901992,Bezirk Einsiedeln,501
-4.15332633447437,5.03069506699265,-0.305757999891987,-6.51200104788834,Bezirk Frauenfeld,2012
-12.4305825865031,7.89712861372345,9.51937346672074,25.9139532728861,Bezirk Gersau,1101
-13.8266724648227,14.0567131209413,-27.4371919991339,46.4462714212038,Bezirk Goms,502
-2.76245821100772,3.99503616346206,-1.70145594511661,-7.51806561358049,Bezirk Gäu,2304
-7.61637909513945,7.0965090544334,-1.80109855941665,8.86768556937256,Bezirk Gösgen,1105
-0.920417426157727,1.27694407365873,-5.65157174226064,6.52825640836838,Bezirk Hinterland,1501
-6.49075789013549,6.9127933249292,-9.59880967594304,13.5197469967515,Bezirk Hinterrhein,1823
-3.0663647268712,3.83617162161511,2.03183848250803,-9.68041697059697,Bezirk Hinwil,105
-3.28540358786787,3.46188292172218,1.40919687462195,-3.37810914295394,Bezirk Horgen,503
-7.59487360021542,7.3878747720415,11.216196424886,-15.7941241530505,Bezirk Höfe,106
-3.51698870099758,7.08930211101742,-10.9539636564847,-12.3989941037496,Bezirk Imboden,1824
-8.82265416135608,9.9676940262867,-18.1038651030193,21.8614067439364,Bezirk Inn,1825
-3.68604193779586,2.90094269996057,9.3283105321802,-8.18183034927733,Bezirk Kreuzlingen,2013
-8.27556711960891,7.11979785542456,0.990425288254015,9.87181729228452,Bezirk Kulm,1905
-3.57264378593189,5.13187176797081,-4.09745735484612,-6.2241170603258,Bezirk Küssnacht (SZ),504
-2.90091912233029,5.47068956710264,-7.66113865712315,-9.22572944374432,Bezirk Landquart,1826
-5.38779310633141,6.24124359457781,-6.98953057388709,5.15135317232471,Bezirk Laufen,1302
-5.3220515546922,8.67587987532257,-11.7594827236569,-8.82219815558862,Bezirk Laufenburg,1906
-9.89802668788542,4.14633985396704,16.5267272225181,24.4147988918124,Bezirk Lebern,1107
-2.30026206032903,5.37482135545784,-9.29209911281346,-11.0201722755779,Bezirk Lenzburg,1907
-9.42515471823824,10.343372238488,-15.8403228743556,20.1469751933498,Bezirk Leuk,2306
-8.05721879158495,8.82169505934805,-4.19838260899008,1.67987213961154,Bezirk Liestal,1303
-5.23688757377946,7.12960879206086,-9.84181969340907,0.786365562570412,Bezirk Maloja / Distretto di Maloggia,1827
-0.36056841393719,2.80103584540985,-4.32252310549121,-14.1288523172077,Bezirk March,505
-6.43340234702494,5.15958260705134,3.75221121672757,5.95639357844697,Bezirk Meilen,107
-3.97371694099232,3.37955224073752,-1.25480555281075,7.99693010961835,Bezirk Mittelland,1502
0.850193853946446,5.33182906604615,-18.5815004854892,-23.2392631355232,Bezirk Muri,2014
-3.33876008959663,5.47640483159682,-3.42967107349861,-12.4737278655544,Bezirk Münchwilen,1908
-7.53341371187629,10.2207577238774,-10.6881000160328,-4.39656531252971,Bezirk Oberklettgau,1401
-3.15674079836896,1.27158171322355,1.98600777905122,13.7611948603958,Bezirk Olten,1108
-5.85043747721525,6.81557938833666,2.18158847781633,-11.1880844307166,Bezirk Pfäffikon,108
1.51369031742665,-6.43610991596254,17.0848889273988,14.2876490657723,Bezirk Plessur,1829
-1.64002024905969,2.62430172681116,-11.9337630548638,11.69907800994,Bezirk Prättigau-Davos,1830
-8.00333118168175,11.2883868243771,-32.6786729021179,27.4324651342037,Bezirk Raron,2309
-10.8999303962028,13.4710373171427,-15.0874960652238,4.58834031839803,Bezirk Reiat,1402
-7.17915827366783,8.43727156894762,-1.98497502255376,-6.53219292177566,Bezirk Rheinfelden,1909
-5.54551511540684,1.5308991844597,8.65100584759442,21.6691776921985,Bezirk Schaffhausen,1403
-11.8424413997352,10.9836865532064,-7.57256643684611,22.2624540861177,Bezirk Schleitheim,1404
2.21872922673552,2.48783664887742,-22.7254168429679,-3.51661955391852,Bezirk Schwyz,506
-3.50852608143792,6.95393450319348,-12.4388645956756,-8.78539323448367,Bezirk See / District du Lac,1005
