date,value
2013-01-15,7282.005238095238
2013-02-15,7476.983
2013-03-15,7761.980000000001
2013-04-15,7757.7038095238095
2013-05-15,8132.265000000001
2013-06-15,7641.491500000004
2013-07-15,7873.145652173912
2013-08-15,7945.705714285715
2013-09-15,8010.0919047619045
2013-10-15,8052.460434782609
2013-11-15,8258.226666666667
2013-12-15,8020.974444444447
2014-01-15,8329.420476190475
2014-02-15,8363.602499999999
2014-03-15,8312.969047619048
2014-04-15,8411.25
2014-05-15,8590.655499999999
2014-06-15,8651.311999999998
2014-07-15,8562.853478260871
2014-08-15,8461.487500000001
2014-09-15,8802.262727272728
2014-10-15,8502.381739130435
2014-11-15,8944.411499999998
2014-12-15,9017.788421052634
2015-01-15,8561.435000000001
2015-02-15,8738.636499999997
2015-03-15,9151.412272727273
2015-04-15,9294.6485
2015-05-15,9173.920555555556
2015-06-15,9039.392727272727
2015-07-15,9204.92782608696
2015-08-15,9155.27
2015-09-15,8645.871363636365
2015-10-15,8730.396363636362
2015-11-15,8918.494285714285
2015-12-15,8699.174
2016-01-15,8300.511999999999
2016-02-15,7865.901428571428
2016-03-15,7913.385238095238
2016-04-15,7948.519523809526
2016-05-15,7998.0365
2016-06-15,7929.9522727272715
2016-07-15,8115.700952380952
2016-08-15,8180.81
2016-09-15,8223.400909090911
2016-10-15,8052.469523809525
2016-11-15,7820.110909090909
2016-12-15,8107.543809523809
2017-01-15,8352.260476190477
2017-02-15,8455.423999999999
2017-03-15,8649.10304347826
2017-04-15,8661.076111111113
2017-05-15,9031.752380952381
2017-06-15,8957.018571428573
2017-07-15,8976.321428571428
2017-08-15,9039.711538461539
