date,value
2013-01-15,502.69039100269003
2013-02-15,504.22948171601
2013-03-15,511.7205563397
2013-04-15,504.8778998619
2013-05-15,507.14377800087004
2013-06-15,488.86759618022995
2013-07-15,497.7757919981
2013-08-15,498.48560164293
2013-09-15,494.90569511871
2013-10-15,498.46053050195
2013-11-15,495.77147815078
2013-12-15,490.38196884095
2014-01-15,497.35301867437
2014-02-15,492.6417743237
2014-03-15,495.11552878801
2014-04-15,496.63422999749
2014-05-15,500.86641557741996
2014-06-15,507.96287823612
2014-07-15,517.32923325485
2014-08-15,522.32673692129
2014-09-15,522.0461397857
2014-10-15,524.74011754735
2014-11-15,525.3040716249
2014-12-15,561.20185941824
2015-01-15,557.81285290471
2015-02-15,568.6103660749101
2015-03-15,581.347321371
2015-04-15,584.2121679487201
2015-05-15,573.29399799545
2015-06-15,577.0251626913199
2015-07-15,596.7032520015999
2015-08-15,605.55063413685
2015-09-15,613.93295673053
2015-10-15,620.8249311191099
2015-11-15,634.87727881183
2015-12-15,640.15180302469
2016-01-15,649.28724551603
2016-02-15,642.15237448988
2016-03-15,646.3785648074501
2016-04-15,668.5780977402
2016-05-15,675.4061161357399
2016-06-15,689.59480171529
2016-07-15,695.5197748830999
2016-08-15,710.61041475638
2016-09-15,720.27198002412
2016-10-15,717.4330222457401
2016-11-15,734.2156575627899
2016-12-15,746.50196675856
2017-01-15,725.20026214401
2017-02-15,755.31810439911
2017-03-15,763.21624331236
2017-04-15,782.8625163865
2017-05-15,779.66442793754
2017-06-15,774.94421335948
