date,value
2013-02-15,20225.0
2013-05-15,20103.0
2013-08-15,19312.0
2013-11-15,21444.0
2014-02-15,20054.0
2014-05-15,17093.0
2014-08-15,19315.0
2014-11-15,22432.0
2015-02-15,22928.0
2015-05-15,12206.0
2015-08-15,19122.0
2015-11-15,17212.0
2016-02-15,15027.0
2016-05-15,13963.0
2016-08-15,15344.0
2016-11-15,15928.0
2017-02-15,14635.0
2017-05-15,10891.0
