Bezirk_ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Kanton_ABK,Bezirk_Name,Kanton_ID,Kanton_Name
505,27,17,20,19,38,17,31,22,24,24,21,20,17,26,39,36,46,33,28,56,58,99,69,31,138,150,147,166,212,132,173,121,144,113,124,SZ,March,5,Schwyz
506,21,25,25,16,20,17,21,11,17,23,26,57,44,63,52,24,51,56,31,67,55,58,48,25,121,94,110,147,123,116,123,121,163,85,81,SZ,Schwyz,5,Schwyz
600,6,30,41,25,21,16,22,20,21,30,25,18,19,18,42,13,24,39,28,38,71,123,70,99,74,56,113,68,131,149,87,90,98,70,54,OW,Kt. Obwalden,6,Obwalden
700,45,41,32,58,41,17,37,14,30,19,28,27,45,67,74,43,41,79,65,104,75,94,154,130,109,75,92,88,118,93,65,66,74,61,57,NW,Kt. Nidwalden,7,Nidwalden
800,63,54,36,45,42,56,37,52,51,24,51,35,39,40,59,141,97,121,96,92,129,231,173,158,239,292,291,215,129,191,97,82,77,92,76,GL,Kt. Glarus,8,Glarus
900,148,155,161,136,237,199,144,153,129,108,114,156,169,132,235,292,228,206,173,300,466,448,470,492,643,494,536,522,513,637,437,429,515,636,506,ZG,Kt. Zug,9,Zug
1001,18,10,13,3,17,18,37,17,21,9,10,29,15,10,30,30,23,23,35,32,67,70,87,82,71,71,74,77,57,45,49,54,85,66,104,FR,La Broye,10,Fribourg
1002,14,15,11,7,16,18,15,20,14,13,16,14,13,19,32,27,30,43,9,28,38,40,60,41,65,37,35,55,30,63,46,29,42,33,53,FR,La Glâne,10,Fribourg
1003,34,20,27,29,27,29,27,40,38,17,23,40,38,50,72,69,72,65,77,58,103,122,140,126,119,93,101,189,100,98,98,99,109,88,143,FR,La Gruyère,10,Fribourg
1004,164,96,109,94,129,167,118,193,189,68,100,147,132,188,443,246,279,246,220,315,352,397,501,379,303,307,404,507,373,371,288,302,447,303,530,FR,La Sarine,10,Fribourg
1005,18,19,22,13,19,18,12,40,31,17,19,25,13,32,56,25,46,31,44,47,75,94,78,110,58,62,71,144,61,81,99,90,83,79,148,FR,See / Lac,10,Fribourg
1006,12,17,15,18,19,12,10,28,18,17,9,31,16,30,55,31,27,47,21,53,59,71,110,102,76,79,108,145,82,73,75,74,108,52,85,FR,Sense,10,Fribourg
1007,15,8,10,8,6,15,15,14,14,5,2,11,11,9,26,15,30,35,27,27,33,25,47,44,23,26,51,59,31,32,31,55,50,44,74,FR,La Veveyse,10,Fribourg
1101,12,9,7,9,5,23,4,10,8,6,7,7,11,4,28,31,41,29,21,25,30,17,42,28,41,31,51,52,71,88,179,36,81,74,62,SO,Gäu,11,Solothurn
1102,10,8,16,6,8,9,7,7,6,16,6,10,11,10,19,15,19,26,5,23,16,14,21,14,35,26,31,23,44,28,59,34,45,33,26,SO,Thal,11,Solothurn
1103,1,1,1,2,1,2,1,0,2,2,2,3,0,4,4,1,4,2,2,1,1,9,3,6,8,4,2,8,16,2,3,6,5,7,11,SO,Bucheggberg,11,Solothurn
1104,23,37,25,35,32,43,38,20,15,10,10,29,12,11,27,28,13,22,25,18,16,29,27,20,36,36,48,30,68,60,87,47,60,47,59,SO,Dorneck,11,Solothurn
1105,16,31,26,19,28,25,31,29,20,12,16,26,18,35,22,80,57,48,25,69,27,71,53,50,109,97,42,65,113,86,234,86,106,52,53,SO,Gösgen,11,Solothurn
1106,96,90,47,47,62,54,46,26,23,35,25,43,29,47,53,95,57,78,52,90,76,117,69,100,158,94,149,113,217,83,415,151,244,172,166,SO,Wasseramt,11,Solothurn
