1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Kanton_Name,Kanton_ABK,Kanton_ID
388975.0,391671.0,394387.0,396520.0,398626.0,401216.0,403931.0,407012.0,410773.0,414718.0,421176.0,427648.0,432819.0,436967.0,440744.0,442350.0,443839.0,443880.0,444891.0,447609.0,450239.0,452904.0,455251.0,457289.0,458821.0,459999.0,461810.0,465937.0,471152.0,474676.0,478907.0,483156.0,487060.0,491699.0,495824.0,St. Gallen,SG,17
161253.0,162582.0,163503.0,163949.0,164836.0,165589.0,166494.0,167143.0,167904.0,169005.0,173523.0,176188.0,179279.0,181957.0,184155.0,185063.0,185999.0,185532.0,186118.0,186026.0,185889.0,185225.0,185771.0,186943.0,187812.0,187803.0,187920.0,188762.0,190459.0,191861.0,192621.0,193388.0,193920.0,194959.0,195886.0,Graubünden / Grigioni / Grischun,GR,18
450794.0,455379.0,458992.0,461968.0,464626.0,468163.0,472685.0,478511.0,484308.0,490412.0,498035.0,506818.0,511979.0,518945.0,523114.0,528887.0,531665.0,534028.0,536462.0,540639.0,543685.0,550298.0,555782.0,560674.0,565122.0,569344.0,574813.0,581562.0,591632.0,600040.0,611466.0,618298.0,627340.0,636362.0,645277.0,Aargau,AG,19
182677.0,184872.0,186557.0,187706.0,189155.0,190699.0,192439.0,195219.0,198371.0,201620.0,206320.0,210542.0,213167.0,217129.0,220335.0,223372.0,224822.0,225395.0,226479.0,227285.0,227481.0,228206.0,229904.0,231836.0,232978.0,234332.0,235764.0,238316.0,241811.0,244805.0,248444.0,251973.0,256213.0,260278.0,263733.0,Thurgau,TG,20
265588.0,268748.0,271233.0,272178.0,273528.0,275261.0,277220.0,278647.0,280630.0,283023.0,286744.0,290000.0,294108.0,297955.0,302131.0,305199.0,304830.0,305588.0,306179.0,308498.0,310834.0,312528.0,315256.0,317315.0,319931.0,322276.0,324851.0,328580.0,332736.0,335720.0,333753.0,336943.0,341652.0,346539.0,350363.0,Ticino,TI,21
522340.0,526552.0,531413.0,535239.0,539627.0,543667.0,550336.0,556942.0,565181.0,571973.0,577524.0,587283.0,593007.0,596736.0,602099.0,605677.0,606471.0,608153.0,611613.0,616275.0,619097.0,624980.0,631039.0,639105.0,647382.0,654093.0,662145.0,672039.0,688245.0,701526.0,713281.0,725944.0,734356.0,749373.0,761446.0,Vaud,VD,22
217795.0,219953.0,222668.0,225094.0,227274.0,229470.0,232550.0,235390.0,239048.0,243705.0,251962.0,257730.0,262389.0,266713.0,269341.0,271291.0,272315.0,273362.0,274458.0,275632.0,276314.0,278419.0,281345.0,285008.0,287976.0,291575.0,294608.0,298580.0,303241.0,307392.0,312684.0,317022.0,321732.0,327011.0,331763.0,Valais / Wallis,VS,23
157091.0,156803.0,156020.0,154790.0,154719.0,154909.0,156216.0,156943.0,157436.0,158569.0,159722.0,161774.0,162581.0,163884.0,164176.0,165258.0,165232.0,165410.0,165594.0,165649.0,165456.0,166227.0,166767.0,167047.0,167910.0,168444.0,168912.0,169782.0,170924.0,171647.0,172085.0,173183.0,174554.0,176402.0,177327.0,Neuchâtel,NE,24
349562.0,352461.0,355806.0,357752.0,360462.0,362157.0,363550.0,365525.0,371356.0,373019.0,378655.0,381404.0,383911.0,387606.0,391699.0,395466.0,394588.0,396659.0,398910.0,403067.0,408146.0,413618.0,418747.0,423993.0,427396.0,430638.0,433235.0,438177.0,446106.0,453292.0,457715.0,460534.0,463101.0,469433.0,477385.0,Genève,GE,25
64381.0,64363.0,64528.0,64438.0,64493.0,64711.0,64783.0,64720.0,64755.0,65009.0,66857.0,67598.0,68392.0,68698.0,69053.0,69261.0,68948.0,68964.0,68995.0,68818.0,68923.0,68930.0,69074.0,69064.0,69091.0,69110.0,69292.0,69555.0,69822.0,70134.0,70032.0,70542.0,70942.0,71738.0,72410.0,Jura,JU,26
