1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Kanton_Name,Kanton_ABK,Kanton_ID
339999.0,340993.0,342547.0,344275.0,345949.0,347764.0,349258.0,350810.0,352288.0,354042.0,356569.0,358292.0,359209.0,359730.0,360231.0,360144.0,360571.0,359948.0,359936.0,360930.0,362740.0,363290.0,364206.0,364655.0,365276.0,366306.0,367092.0,368476.0,369971.0,371609.0,374368.0,376226.0,377489.0,379074.0,380500.0,St. Gallen,SG,17
145424.0,146592.0,147180.0,147823.0,148630.0,149217.0,149833.0,150479.0,150894.0,151602.0,155174.0,156071.0,157096.0,157911.0,158463.0,159279.0,160304.0,160167.0,161142.0,161234.0,161600.0,161015.0,160604.0,161141.0,161591.0,161151.0,160833.0,160754.0,160840.0,160928.0,160517.0,160504.0,160390.0,160440.0,160497.0,Graubünden / Grigioni / Grischun,GR,18
386183.0,389327.0,392153.0,395435.0,398432.0,401929.0,405644.0,409654.0,414085.0,417787.0,421646.0,423948.0,425229.0,427670.0,429195.0,432186.0,434340.0,436496.0,437705.0,440013.0,441868.0,444555.0,447356.0,449957.0,452595.0,454862.0,459409.0,463155.0,467649.0,471283.0,477468.0,480532.0,484088.0,487918.0,491344.0,Aargau,AG,19
155672.0,156969.0,158121.0,159594.0,161010.0,162340.0,163598.0,165359.0,167385.0,169351.0,171985.0,173642.0,174954.0,176546.0,178303.0,179904.0,181106.0,182058.0,183484.0,184245.0,184805.0,184859.0,185804.0,186673.0,187553.0,188689.0,189789.0,190926.0,191942.0,193511.0,194911.0,196272.0,197944.0,199434.0,200849.0,Thurgau,TG,20
199674.0,202651.0,204522.0,206041.0,207440.0,209313.0,211202.0,212638.0,213980.0,215531.0,216904.0,218321.0,219517.0,220677.0,221571.0,222416.0,223367.0,224430.0,225780.0,228171.0,232110.0,233637.0,236259.0,237962.0,240056.0,241365.0,243245.0,245786.0,248274.0,250381.0,246898.0,248599.0,250320.0,252173.0,253633.0,Ticino,TI,21
421796.0,424062.0,426924.0,429803.0,432176.0,434568.0,437476.0,440563.0,443207.0,445466.0,441618.0,444279.0,446322.0,447102.0,448645.0,449727.0,449870.0,450857.0,452159.0,453666.0,455127.0,457604.0,459825.0,461853.0,463935.0,467453.0,471031.0,476968.0,482317.0,487907.0,492352.0,496720.0,498089.0,503493.0,509124.0,Vaud,VD,22
199070.0,200706.0,202417.0,204081.0,205353.0,206367.0,207764.0,208972.0,210772.0,212805.0,218027.0,219950.0,221496.0,222958.0,224150.0,225111.0,226251.0,227305.0,228847.0,229775.0,231139.0,232646.0,234224.0,236213.0,237348.0,238736.0,240264.0,241519.0,242684.0,244598.0,247010.0,249788.0,252134.0,254273.0,256485.0,Valais / Wallis,VS,23
130444.0,130124.0,129406.0,128635.0,128425.0,128234.0,128612.0,128473.0,128386.0,128182.0,127259.0,127276.0,127491.0,127875.0,127780.0,127971.0,128291.0,128500.0,128753.0,128817.0,128602.0,128528.0,128700.0,128931.0,129457.0,129686.0,129989.0,130128.0,130331.0,131981.0,132499.0,132685.0,132652.0,132428.0,132575.0,Neuchâtel,NE,24
236535.0,238499.0,238692.0,238717.0,239046.0,239227.0,238931.0,239155.0,238797.0,238814.0,240853.0,240853.0,241309.0,242250.0,243990.0,245345.0,246499.0,247456.0,248987.0,250703.0,254825.0,258536.0,260554.0,263649.0,265873.0,267803.0,271534.0,274226.0,276012.0,277814.0,278724.0,279309.0,279417.0,279635.0,281897.0,Genève,GE,25
58335.0,58316.0,58403.0,58389.0,58444.0,58635.0,58745.0,58715.0,58714.0,58840.0,60253.0,60436.0,60733.0,60828.0,60982.0,61056.0,60747.0,60733.0,60714.0,60538.0,60664.0,60580.0,60789.0,60802.0,60845.0,61013.0,61239.0,61360.0,61382.0,61511.0,61267.0,61600.0,61722.0,61985.0,62284.0,Jura,JU,26
